Substance(s) active(s),P.Comm,Société,Fabricant
Abamectine,Numectin,AGRIPROTEC,NUFARM FRANCE
Abamectine,Agrimec Gold 084 SC,BIOPROTECTION,SYNGENTA
Abamectine,ROMECTIN EC,AGRONOMIC LAND,"ROTAM CHEMISTRY CO.,Ltd"
Abamectine,Vertimec,BIOPROTECTION,SYNGENTA
Abamectin +Thiamethoxam,SOLVIGO 185 SC,COTUGRAIN IMPEX,SYNGENTA
Acetameprid,ACETADE FORT,SANABEL Agro,SHARDA CROPCHEM
Acetameprid,Polysect,SOCOOPEC,SHARDA
Acetamipride,Escort 20 SL,BIOPROTECTION,UPL/(NIPPON
Acrinathrine +Abamectine,TRIPSOL EW,AGROSYSTEME,Cheminova/fmc
Alphaméthrine,Bonbard,COTUGRAIN,Non spécifié
Chlorpyrifos,DELFOS 5G,ETS MEZGHANI,INDUSTRIAL QUIMICA KEY
Chlorpyrifos+Gamma – cyhalothrin,BOLTON EC,AGRIPROTEC,CHEMINOVA /FMC
Cyperméthrine,Selene,ETS. MEZGHANI,INDUSTRIAL QUIMICA KEY
Cyperméthrine,Sherpa,JADWA AGROTEC,CMPA
Cyromazine,clave WP,ets mezghani,industrial quimica key
Cyromazine,Trigard,BIOPROTECTION,SYNGENTA
Deltamethrine,D66,ETS MEZGHANNI,INDUSTRIAL QUIMICA KEY
Deltamethrine,Dextra 25 EC,RAYEN PHYTAGRI,TAGROS CHEMICALS
Deltamethrine,Delmitox,SANABEL AGRO,SHARDA CROPCHEM
Deltaméthrine,Deltacal,BIOPROTECTION,UPL/ARYSTA LIFESCIENCE
Diméthoate,Dimethon,ETS MEZGHANI,INDUST. QUIMICA KEY
Fenpyroximate,Mitacid,INNOVA,SIPCAM INAGRA (ancientfabricant: NIHON NOHYAKU Co. Ltd)
Flonicamid,TEPPEKI WG,AGRIPROTEC,ISK Biosciences Europe N.V(fabricant)/upl(fournisseur)
Fluopyram,VELUM PRIME 400 SC,ATLAS AGRICOLE,BAYER AG
Flupyradifurone,SIVANTO PRIME 200 SL,ATLAS AGRICOLE,Bayer A.G
Imidaclopride,Confidor,PROMOCHIMIE,BAYER CROPSCIENCE
Indoxacarbe,Avaunt,SEPCM,DU PONT/FMC
Indoxacarbe,STARCARB,SSCC,GARDA CHEMICAL
Indoxacarb,Hoprole Xtra,DELTA AGRICOLE PLUS,Shandong weifang rainbow chemical
Lambada cyhalothrine,Kempo EG,BIOPROTECTION,NUFARM
Lambada cyhalothrine,KAISO 5%,EL MOUSSEM AGRICOLE,NUFARM
Lambda cyhalothrin,JUDO,STIMA,Sharda
Methiocarbe,Mesurol 200 SC,ATLAS AGRICOLE,BAYER CROPSCIENCE
Méthomyl,Kuik 400 SP,SANABEL AGRO,ROTAM AGROCHEMICAL
Méthomyl,Lannate 25,SEPCM,DU PONT (Taiwan) AGRISCIENCE/corteva
Méthomyl,Lannate 20 L,SEPCM,DU PONT
Methoxyfenozide,Runner,PROMOCHIMIE,DOW AGROSCIENCES
Milbemectin,Milbeknock,AGRIPROTEC,"Mitsui Chemicals Agro,Inc"
Oxamyl,Vydate 10 L,AGRIPROTEC,DU PONT
Phénamiphos,Nemacur 10 G,PROMOCHIMIE,AMVAC Chemical Corporation
Phosmet,Imidan 50 A,AGRIPROTEC,GOWAN/Espagne
Phosphure d’Al. +Phosphure d’Hy.,Quickphos,PROTAGRI,UNITED PHOSPHORUS LTD
Phosphure d’Al. +Phosphure d’Hy.,Detia Gas,STIMA,DETIA DEGUECH
Pyriproxyfene,BRAI EC,RAYEN PHYTAGRI,LAINCO SA
Pyrifluquinazon,RYCAR SC,EL KHADRA,SIPCAM INAGRAS
Tefluthrine,DIASTAR MAXI GR,RAYEN PHYTAGRI,DIACHEM
Thiaclopride,Calypso,PROMOCHIMIE,BAYER CROPSCIENCE
Adepidyn+ Difenoconazole,Miravis duo Sc,BIOPROTECTION,ARYSTA LIFESCIENCES
Ametoctradin+ Dimethomorph,Orvego,AGRIPROTEC,BASF
Ametoctradine,SNOOKER SC,STIMA,BASF
Amisulbrom,LEIMAY 20 SC,EL MOUSSEM AGRICOLE,NISSAN CHEMICAL EUROPE SAS/ARYSTA LIFESCIENCES
Bacillus amyloliquefaciens souche FZB24:,Taegro,COTUGRAIN,Novozymesbiologicals inc/syngenta
Captane,Akotan 830 WP,SEPCM,AAKO
Carbandazime,Mandarin,SANABEL AGRO,SINON CORPORATION/ TAIWAN
