SUBSTANCE(S) ACTIVE(S),P.COMM,SOCIÉTÉ,FABRICANT,SUBSTANCE_ACTIVE_1,SUBSTANCE_UNIT_1,SUBSTANCE_ACTIVE_2,SUBSTANCE_UNIT_2,SUBSTANCE_ACTIVE_3,SUBSTANCE_UNIT_3,SUBSTANCE_ACTIVE_4,SUBSTANCE_UNIT_4,SOCIÉTÉ_CANONIQUE,FABRICANT_CANONIQUE
ABAMECTINE,AAKOMECTINE,STEC,AAKO BV,ABAMECTINE,ABAMECTINE,N/A,N/A,N/A,N/A,N/A,N/A,STEC,AAKO BV
PYRÉTHRINE,ABANTO 40 EC,EL KHADRA,INDUSTRIAS AFRAZA/ALBAUGH EUROPE SARL,PYRÉTHRINE,PYRÉTHRINE,N/A,N/A,N/A,N/A,N/A,N/A,EL KHADRA,INDUSTRIAS AFRAZA ALBAUGH EUROPE
CHLORANTRANILIPROLE +METHOXYFENOZIDE,ABSOLUT SC,STEC,NANJING AGROCHEMICAL CHINE,CHLORANTRANILIPROLE,CHLORANTRANILIPROLE,METHOXYFENOZIDE,METHOXYFENOZIDE,N/A,N/A,N/A,N/A,STEC,NANJING CHINE
CYPROCONAZOLE + PICOXYSTROBINE,ACANTO PLUS,SEPCM,DU PONT INTERNATIONAL,CYPROCONAZOLE,CYPROCONAZOLE,PICOXYSTROBINE,PICOXYSTROBINE,N/A,N/A,N/A,N/A,SEPCM,DU PONT INTERNATIONAL
SPIRODICLOFEN,ACAROS SC,STEC,SHANDONG KANGQIAO NANJING AGROCHEMICAL,SPIRODICLOFEN,SPIRODICLOFEN,N/A,N/A,N/A,N/A,N/A,N/A,STEC,SHANDONG KANGQIAO NANJING
ACÉTAMEPRID,ACETADE FORT,SANABEL AGRO,SHARDA CROPCHEM,ACÉTAMEPRID,ACÉTAMEPRID,N/A,N/A,N/A,N/A,N/A,N/A,SANABEL AGRO,SHARDA CROPCHEM
DIMETHOMORPHE +MANCOZÈBE,ACROBAT MZ WG,COTUGRAIN IMPEX,BASF,DIMETHOMORPHE,DIMETHOMORPHE,MANCOZÈBE,MANCOZÈBE,N/A,N/A,N/A,N/A,COTUGRAIN IMPEX,BASF
HEXYTHIAZOX,ACRUX SC,AGROSYSTEMES,ASCENZA AGRO,HEXYTHIAZOX,HEXYTHIAZOX,N/A,N/A,N/A,N/A,N/A,N/A,AGROSYSTEMES,ASCENZA AGRO
PYRIMIPHOS METHYL,ACTELLIC,AGRIPROTEC,SYNGENTA,PYRIMIPHOS METHYL,PYRIMIPHOS METHYL,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,SYNGENTA
DÉRIVVÉS D'ACIDES GRAS VÉGÉTAUX + HUILE DE PIN,ACTILANDE TM EC,SEPCM,ACTION PIN,DÉRIVVÉS D'ACIDES GRAS VÉGÉTAUX,DÉRIVVÉS D'ACIDES GRAS VÉGÉTAUX,HUILE DE PIN,HUILE DE PIN,N/A,N/A,N/A,N/A,SEPCM,ACTION PIN
ACLONIFEN,ACTION 60 SC,SHARDA CROPCHEM TUNISIA,SHARDA CROPCHEM LIMITED/,ACLONIFEN,ACLONIFEN,N/A,N/A,N/A,N/A,N/A,N/A,SHARDA CROPCHEM,SHARDA CROPCHEM
ABAMECTINE,ACTROSE 18 EC,ETS MEZGHANI,ASTRACHEM,ABAMECTINE,ABAMECTINE,N/A,N/A,N/A,N/A,N/A,N/A,ETS MEZGHANI,ASTRACHEM
EPOXICONAZOLE+FLUXAPYROXAD(XEMIUM),ADEXAR XTRA EC,STIMA,BASF,EPOXICONAZOLE,EPOXICONAZOLE,FLUXAPYROXAD (XEMIUM),FLUXAPYROXAD (XEMIUM),N/A,N/A,N/A,N/A,STIMA,BASF
LINURON,AFALON 50 L SC,SEPCM,AAKO BV,LINURON,LINURON,N/A,N/A,N/A,N/A,N/A,N/A,SEPCM,AAKO BV
GLYPHOSATE +CARFENTRAZONE-ETHYL,AFFINEX,COTUGRAIN IMPEX,FMC,GLYPHOSATE,GLYPHOSATE,CARFENTRAZONE-ETHYL,CARFENTRAZONE-ETHYL,N/A,N/A,N/A,N/A,COTUGRAIN IMPEX,FMC
OXYCHLORURE DE CUIVRE + MANCOZÈBE,AFROSAN DUPLO,EL KHADRA,AFRASA,OXYCHLORURE DE CUIVRE,OXYCHLORURE DE CUIVRE,MANCOZÈBE,MANCOZÈBE,N/A,N/A,N/A,N/A,EL KHADRA,AFRASA
CYMOXANIL + MANCOZEBE,AGREZATE PLUS WP,SOCOOPEC,AGRIA,CYMOXANIL,CYMOXANIL,MANCOZEBE,MANCOZEBE,N/A,N/A,N/A,N/A,SOCOOPEC,AGRIA
GLYPHOSATE,AGRIATECH,AGROSYSTEMES,AGRIA SA,GLYPHOSATE,GLYPHOSATE,N/A,N/A,N/A,N/A,N/A,N/A,AGROSYSTEMES,AGRIA SA
DINOCAP MEPTYL + MYCLOBUTANIL,AGRIKAR STAR,ATLAS AGRICOLE,DOW AGROSCIENCES,DINOCAP MEPTYL,DINOCAP MEPTYL,MYCLOBUTANIL,MYCLOBUTANIL,N/A,N/A,N/A,N/A,ATLAS,DOW AGROSCIENCES
ABAMECTINE,AGRIMEC GOLD 084 SC,BIOPROTECTION,SYNGENTA,ABAMECTINE,ABAMECTINE,N/A,N/A,N/A,N/A,N/A,N/A,BIOPROTECTION,SYNGENTA
THIOPHANATE-MÉTHYL,AGRIPHANATE,AGRIPROTEC,MEGHMANI INDUSTRIES,THIOPHANATE-MÉTHYL,THIOPHANATE-MÉTHYL,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,MEGHMANI INDUSTRIES
OXYCHLORURE DE CUIVRE,AGROCUIVRE,AGROSYSTEMES,SPEISS,OXYCHLORURE DE CUIVRE,OXYCHLORURE DE CUIVRE,N/A,N/A,N/A,N/A,N/A,N/A,AGROSYSTEMES,SPEISS
HUILE DE PARAFFINIQUE,AGROIL BLEU EC,PROMOCHIMIE,SIPCAM INAGRA,HUILE DE PARAFFINIQUE,HUILE DE PARAFFINIQUE,N/A,N/A,N/A,N/A,N/A,N/A,PROMOCHIMIE,SIPCAM INAGRA
SOUFRE,AGROSOUFRE,AGROSYSTEMES,AGROSTULLNGMBH,SOUFRE,SOUFRE,N/A,N/A,N/A,N/A,N/A,N/A,AGROSYSTEMES,AGROSTULLNGMBH
CUIVRE MÉTAL,AIRONE,AGRIMATCO,ISAGRO/DISTRIBUTE PAR FRARIMPEX GOWAN CROP,CUIVRE MÉTAL,CUIVRE MÉTAL,N/A,N/A,N/A,N/A,N/A,N/A,AGRIMATCO,ISAGRO DISTRIBUTE PAR FRARIMPEX GOWAN
CHLORPYRIPHOSETHYL,AKOCID 480 EC,STEC,AAKO,CHLORPYRIPHOSETHYL,CHLORPYRIPHOSETHYL,N/A,N/A,N/A,N/A,N/A,N/A,STEC,AAKO
CLÉTHODIME,AKODIM 120 EC,SEPCM,AAKO,CLÉTHODIME,CLÉTHODIME,N/A,N/A,N/A,N/A,N/A,N/A,SEPCM,AAKO
CAPTANE,AKOTAN 830 WP,SEPCM,AAKO,CAPTANE,CAPTANE,N/A,N/A,N/A,N/A,N/A,N/A,SEPCM,AAKO
METALDEHYDE,ALDEM 3% GR,AGRONOMIC LAND,SHARDA,METALDEHYDE,METALDEHYDE,N/A,N/A,N/A,N/A,N/A,N/A,AGRONOMIC LAND,SHARDA
METALDEHYDE,ALDEM 3% GR,EXCEL AGRI,SHARDA CROPCHEM LIMITED INDE,METALDEHYDE,METALDEHYDE,N/A,N/A,N/A,N/A,N/A,N/A,EXCEL AGRI,SHARDA CROPCHEM INDE
FOSÉTHYL-AL,ALIAL,AGRIPROTEC,PROPLAN,FOSÉTHYL-AL,FOSÉTHYL-AL,N/A,N/A,N/A,N/A,N/A,N/A,AGRIPROTEC,PROPLAN
FOSÉTHYL-AL,ALIETTE EXPRESS,SEPCM,BAYER CROPSCIENCE,FOSÉTHYL-AL,FOSÉTHYL-AL,N/A,N/A,N/A,N/A,N/A,N/A,SEPCM,BAYER CROPSCIENCE
THIAMETHOXAM + LAMBDA-CYHALOTHRINE,ALIKA 247 ZC,COTUGRAIN IMPEX,SYNGENTA,THIAMETHOXAM,THIAMETHOXAM,LAMBDA-CYHALOTHRINE,LAMBDA-CYHALOTHRINE,N/A,N/A,N/A,N/A,COTUGRAIN IMPEX,SYNGENTA
INDAZIFLAM,ALION 500 SC,PROMOCHIMIE,BAYER,INDAZIFLAM,INDAZIFLAM,N/A,N/A,N/A,N/A,N/A,N/A,PROMOCHIMIE,BAYER
EPOXICONAZOLE + KRESOXIM-METHYL,ALLEGRO,AGRIMATCO,BASF,EPOXICONAZOLE,EPOXICONAZOLE,KRESOXIM-METHYL,KRESOXIM-METHYL,N/A,N/A,N/A,N/A,AGRIMATCO,BASF
LAMBDA-CYHALOTHRINE,ALLEYA ME,EL KHADRA,AUGUST INC/CORPORATE,LAMBDA-CYHALOTHRINE,LAMBDA-CYHALOTHRINE,N/A,N/A,N/A,N/A,N/A,N/A,EL KHADRA,AUGUST CORPORATE
KRÉSOXIM-MÉTHYL,ALLIAGE DF,AGRIMATCO,BASF,KRÉSOXIM-MÉTHYL,KRÉSOXIM-MÉTHYL,N/A,N/A,N/A,N/A,N/A,N/A,AGRIMATCO,BASF
DIFLUFENICAN + METSULFURON-MÉTHYL,ALLIANCE,BIOPROTECTION,NUFARM S.A,DIFLUFENICAN,DIFLUFENICAN,METSULFURON-MÉTHYL,METSULFURON-MÉTHYL,N/A,N/A,N/A,N/A,BIOPROTECTION,NUFARM S A
