SUBSTANCE(S) ACTIVE(S),P.COMM,SOCIÉTÉ,FABRICANT,SUBSTANCE_ACTIVE_1,SUBSTANCE_UNIT_1,SUBSTANCE_Corr_1,SUBSTANCE_ACTIVE_2,SUBSTANCE_UNIT_2,SUBSTANCE_Corr_2,SUBSTANCE_ACTIVE_3,SUBSTANCE_UNIT_3,SUBSTANCE_Corr_3,SUBSTANCE_ACTIVE_4,SUBSTANCE_UNIT_4,SUBSTANCE_Corr_4,SOCIÉTÉ_CANONIQUE,FABRICANT_CANONIQUE,Status_Glb
"(E,Z,Z)-3,8 ,11-TETRADECADIEN -1-YL ACETATE( 53.8 MG/DIFFUSEUR) (E,Z)-3,8 –TETRADECAD IEN -1-YL ACETATE(6.2 MG/DIFFUSEUR)",SHIN –ETSU MD T,COTUGRAIN,SHIN ETSU CHEMICAL/ CBC (EUROPE),"(E,Z,Z)-3,8 ,11-TETRADECADIEN -1-YL ACETATE( 53.8 MG/DIFFUSEUR) (E,Z)-3,8 –TETRADECAD IEN -1-YL ACETATE(6.2 MG/DIFFUSEUR)","(E,Z,Z)-3,8 ,11-TETRADECADIEN -1-YL ACETATE( 53.8 MG/DIFFUSEUR) (E,Z)-3,8 –TETRADECAD IEN -1-YL ACETATE(6.2 MG/DIFFUSEUR)","(E,Z,Z)-3,8 ,11-TETRADECADIEN -1-YL ACETATE( 53.8 MG/DIFFUSEUR) (E,Z)-3,8 –TETRADECAD IEN -1-YL ACETATE(6.2 MG/DIFFUSEUR)",,,,,,,,,,COTUGRAIN,SHIN ETSU CBC EUROPE,
"(E,Z,Z)-3,8,11TETRADECATRIEN 1-Y ACETATE (E,Z)-3,8TETRADECATRIEN1- Y ACETATE",PHERODIS TUTA ABSOLUTA,NUTRIPLANT,KOPPERT,"(E,Z,Z)-3,8,11TETRADECATRIEN 1-Y ACETATE (E,Z)-3,8TETRADECATRIEN1- Y ACETATE","(E,Z,Z)-3,8,11TETRADECATRIEN 1-Y ACETATE (E,Z)-3,8TETRADECATRIEN1- Y ACETATE","(E,Z,Z)-3,8,11TETRADECATRIEN 1-Y ACETATE (E,Z)-3,8TETRADECATRIEN1- Y ACETATE",,,,,,,,,,NUTRIPLANT,KOPPERT,
"2,4 D –ESTER BUTYLGLYCOL",DESORMONE LOURD,SEPCM,NUFARM,"2,4 D –ESTER BUTYLGLYCOL","2,4 D –ESTER BUTYLGLYCOL","2,4 D –ESTER BUTYLGLYCOL",,,,,,,,,,SEPCM,NUFARM,
"2,4-D ACIDE +FLORASULAM",NIKOS 306 SE,ATLAS AGRICOLE,DOW AGROSCIENCES/CORTEVA,"2,4-D ACIDE","2,4-D ACIDE","2,4-D ACIDE",FLORASULAM,FLORASULAM,FLORASULAME,,,,,,,ATLAS,DOW AGROSCIENCES CORTEVA,
"2,4-D SEL D’AMINE",CHARDOL 720 SL,BIOPROTECTION,NUFARM,"2,4-D SEL D’AMINE","2,4-D SEL D’AMINE","2,4-D SEL D’AMINE",,,,,,,,,,BIOPROTECTION,NUFARM,
"2,4-D SEL D’AMINE",DICOPUR 720 SL,AGRIPROTEC,NUFARM,"2,4-D SEL D’AMINE","2,4-D SEL D’AMINE","2,4-D SEL D’AMINE",,,,,,,,,,AGRIPROTEC,NUFARM,
"2,4-D SEL D’AMINE",SANAPHEN D 720 SL,ATLAS AGRICOLE,DOW,"2,4-D SEL D’AMINE","2,4-D SEL D’AMINE","2,4-D SEL D’AMINE",,,,,,,,,,ATLAS,DOW,
"2,4-D SEL D’AMINE",SHARMINA 720 SL,AGRINOVA,SHARDA,"2,4-D SEL D’AMINE","2,4-D SEL D’AMINE","2,4-D SEL D’AMINE",,,,,,,,,,AGRINOVA,SHARDA,
"2,4-D SEL D’AMINE",STOPWEEDS,SANABEL AGRO,SHARDA,"2,4-D SEL D’AMINE","2,4-D SEL D’AMINE","2,4-D SEL D’AMINE",,,,,,,,,,SANABEL AGRO,SHARDA,
"2,4-D SEL D’AMINE",TOPOL,EL KHADRA,SHARDA,"2,4-D SEL D’AMINE","2,4-D SEL D’AMINE","2,4-D SEL D’AMINE",,,,,,,,,,EL KHADRA,SHARDA,
"2,4-D SEL DE DIMETHYLAMINE",AMANORA,AGRIMATCO,UPL,"2,4-D SEL DE DIMETHYLAMINE","2,4-D SEL DE DIMETHYLAMINE","2,4-D SEL DE DIMETHYLAMINE",,,,,,,,,,AGRIMATCO,UPL,
