Substance_Tunisie,Correspondance_UE,Statut_UE,Methode_Resolution
MEFEMPYR DIETHYL,Mefenpyr-diethyl,Approved,Approbation Nationale UE (Phytoprotecteur)
MEFENPYR,Mefenpyr-diethyl,Approved,Approbation Nationale UE (Phytoprotecteur)
BEAUVERIA BASSIANA STRAIN R444,Beauveria bassiana strain R444,Pending,Exact
TRICHODERMA ATROVIRIDE 77B,Trichoderma atroviride 77B,Pending,Exact
ACIBENZOLAR-S-METHYL,Acibenzolar-S-methyl (benzothiadiazole),Not approved,Exact
BENALAXYL,Benalaxyl,Not approved,Exact
BRODIFACOUM,Brodifacoum,Not approved,Exact
CHLOROTHALONIL,Chlorothalonil,Not approved,Exact
CHLORPYRIFOS,Chlorpyrifos,Not approved,Exact
CHROMAFENOZIDE,Chromafenozide,Not approved,Exact
CLOFENTEZINE,Clofentezine,Not approved,Exact
CYPROCONAZOLE,Cyproconazole,Not approved,Exact
CYROMAZINE,Cyromazine,Not approved,Exact
DIAFENTHIURON,Diafenthiuron,Not approved,Exact
DIETHOFENCARB,Diethofencarb,Not approved,Exact
DIFENACOUM,Difenacoum,Not approved,Exact
DIMETHOATE,Dimethoate,Not approved,Exact
EPOXICONAZOLE,Epoxiconazole,Not approved,Exact
ETHAMETSULFURON METHYL,Ethametsulfuron-methyl,Not approved,Exact
ETHOPROPHOS,Ethoprophos,Not approved,Exact
FAMOXADONE,Famoxadone,Not approved,Exact
FENPYRAZAMINE,Fenpyrazamine,Not approved,Exact
FLUBENDIAMIDE,Flubendiamide,Not approved,Exact
FLUCARBAZONE-SODIUM,Flucarbazone-sodium,Not approved,Exact
FLUFENACET,Flufenacet (formerly fluthiamide),Not approved,Exact
FLUFENOXURON,Flufenoxuron,Not approved,Exact
FLUMETSULAM,Flumetsulam,Not approved,Exact
FLURTAMONE,Flurtamone,Not approved,Exact
FLUTRIAFOL,Flutriafol,Not approved,Exact
INDAZIFLAM,Indaziflam,Not approved,Exact
INDOXACARB,Indoxacarb,Not approved,Exact
IPRODIONE,Iprodione,Not approved,Exact
LINURON,Linuron,Not approved,Exact
LUFENURON,Lufenuron,Not approved,Exact
METAFLUMIZONE,Metaflumizone,Not approved,Exact
METHOMYL,Methomyl,Not approved,Exact
METHOXYFENOZIDE,Methoxyfenozide,Not approved,Exact
MYCLOBUTANIL,Myclobutanil,Not approved,Exact
OXAMYL,Oxamyl,Not approved,Exact
PENCYCURON,Pencycuron,Not approved,Exact
PENTHIOPYRAD,Penthiopyrad,Not approved,Exact
PHOSMET,Phosmet,Not approved,Exact
PROMETRYN,Prometryn,Not approved,Exact
PROPICONAZOLE,Propiconazole,Not approved,Exact
PYRIDALYL,Pyridalyl,Not approved,Exact
PYRIFLUQUINAZON,Pyrifluquinazon,Not approved,Exact
PYROXASULFONE,Pyroxasulfone,Not approved,Exact
S-METOLACHLOR,S-Metolachlor,Not approved,Exact
SAFLUFENACIL,Saflufenacil,Not approved,Exact
SIMAZINE,Simazine,Not approved,Exact
SPIRODICLOFEN,Spirodiclofen,Not approved,Exact
SPIROMESIFEN,Spiromesifen,Not approved,Exact
SPIROTETRAMAT,Spirotetramat,Not approved,Exact
TEPRALOXYDIM,Tepraloxydim,Not approved,Exact
THIAMETHOXAM,Thiamethoxam,Not approved,Exact
THIOPHANATE-METHYL,Thiophanate-methyl,Not approved,Exact
TRIADIMENOL,Triadimenol,Not approved,Exact
TRIFLUMURON,Triflumuron,Not approved,Exact
TRIMETHYLAMINE HYDROCHLORIDE,Trimethylamine hydrochloride,Not approved,Exact
2.4-D,"2,4-D",Approved,Exact
ACLONIFEN,Aclonifen,Approved,Exact
AMIDOSULFURON,Amidosulfuron,Approved,Exact
AMINOPYRALID,Aminopyralid,Approved,Exact
AMISULBROM,Amisulbrom,Approved,Exact
BEAUVERIA BASSIANA STRAIN ATCC 74040,Beauveria bassiana strain ATCC 74040,Approved,Exact
BENTAZONE,Bentazone,Approved,Exact
