Catégorie,Substance Active,Concentration,Formulation,Produit Commercial,Numéro Homologation,Société,Fabricant,Année,eu_overall_status,eu_match_count,eu_checked_substances,eu_matched_names,eu_status_details,eu_errors
INECTICIDE,Abamectine,1 8 g / l,E C,V e r t i m e c,I A . 0 0 3 - 1 1,BIOPROTECTION,SYNGENTA,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Abamectine,Abamectin (aka avermectin),Abamectine:EU_APPROVED,
INECTICIDE,Abamectine,1 8 g / l,E C,Vertimec Potenza 1.8 Transact 18 EC Aakomectine,IA.003-11 IA.007-11 I.A.161-11 IA.009-11,BIOPROTECTION SANABEL AGRO TASMID STEC,SYNGENTA SINON CORPORATION ASTRACHEM AAKO BV,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Abamectine,Abamectin (aka avermectin),Abamectine:EU_APPROVED,
INECTICIDE,Abamectine,1 8 g / l,E C,ACTROSE 18 EC,I.015-18,Ets MEZGHANI,ASTRACHEM,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Abamectine,Abamectin (aka avermectin),Abamectine:EU_APPROVED,
INECTICIDE,Abamectine,1 8 g / l,E C,TINA EC,IA.005-11,ETS MEZGHANI,INDUSTRIAL QUIMICA KEY,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Abamectine,Abamectin (aka avermectin),Abamectine:EU_APPROVED,
INECTICIDE,Abamectine,1 8 g / l,E C,Timectin,I.A.006- 13,COTUGRAIN IMPEX,Tide Ningbo Ltd.,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Abamectine,Abamectin (aka avermectin),Abamectine:EU_APPROVED,
INECTICIDE,Abamectine,18g/l,EC,VALMEC EC,I.004-19,EL KHADRA,INDUSTRIAS AFRASA S.A,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Abamectine,Abamectin (aka avermectin),Abamectine:EU_APPROVED,
INECTICIDE,Abamectine,20g/l,SC,TERVIGO 020 SC,IN.001-19,BIOPROTECTION,Syngenta Crop Protection AG,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Abamectine,Abamectin (aka avermectin),Abamectine:EU_APPROVED,
INECTICIDE,Abamectine,84 g/L,SC,Agrimec Gold 084 SC,I.A.129-11,BIOPROTECTION,SYNGENTA,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Abamectine,Abamectin (aka avermectin),Abamectine:EU_APPROVED,
INECTICIDE,Abamectine,18 g/L,EC,Numectin,I.A.009-16,AGRIPROTEC,NUFARM,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Abamectine,Abamectin (aka avermectin),Abamectine:EU_APPROVED,
INECTICIDE,Abamectine,1 8 g / L,E W,D i v a 1 . 8 E W,I . A . 0 0 2 - 1 5,EL MOUSSEM AGRICOLE,CHEMINOVA,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Abamectine,Abamectin (aka avermectin),Abamectine:EU_APPROVED,
INECTICIDE,Abamectine,1 8 g / l,E C,M E C T I N E P R O,I . 0 0 6 - 1 7,JADWA AGROTEC,AAKO BV,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Abamectine,Abamectin (aka avermectin),Abamectine:EU_APPROVED,
INECTICIDE,Abamectin + Thiamethoxam,33.2g/L + 152.4g/L,SC,AGRI-FLEX 185 SC,I.011-17,AGRIPROTEC,SYNGENTA,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Abamectin + Thiamethoxam,Abamectin (aka avermectin),Abamectin + Thiamethoxam:EU_APPROVED,
INECTICIDE,Abamectin + Thiamethoxam,33.2g/L + 152.4g/L,SC,SOLVIGO 185 SC,I.008-18,COTUGRAIN IMPEX,SYNGENTA,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Abamectin + Thiamethoxam,Abamectin (aka avermectin),Abamectin + Thiamethoxam:EU_APPROVED,
INECTICIDE,Acétamipride,200 g/L,SL,Mospilan 20 SL Escort 20 SL,I.011-11 I.010-11,SEPCM BIOPROTECTION,(NIPPON SODA) ARYSTA LIFESCIENCE (NIPPON SODA) ARYSTA LIFESCIENCE,2020,ALL_SUBSTANCES_APPROVED_IN_EU,1,Acétamipride,Acetamiprid,Acétamipride:EU_APPROVED,
