row_id,Produit Commercial,Substance Active,eu_overall_status,eu_status_details,substance_unit_1,substance_normalized_1,candidate_1_1,score_1_1,candidate_1_1_status,candidate_1_1_url,candidate_1_2,score_1_2,candidate_1_2_status,candidate_1_2_url,candidate_1_3,score_1_3,candidate_1_3_status,candidate_1_3_url,candidate_1_4,score_1_4,candidate_1_4_status,candidate_1_4_url,candidate_1_5,score_1_5,candidate_1_5_status,candidate_1_5_url,review_decision_1,review_match_name_1,review_notes_1,substance_unit_2,substance_normalized_2,candidate_2_1,score_2_1,candidate_2_1_status,candidate_2_1_url,candidate_2_2,score_2_2,candidate_2_2_status,candidate_2_2_url,candidate_2_3,score_2_3,candidate_2_3_status,candidate_2_3_url,candidate_2_4,score_2_4,candidate_2_4_status,candidate_2_4_url,candidate_2_5,score_2_5,candidate_2_5_status,candidate_2_5_url,review_decision_2,review_match_name_2,review_notes_2,substance_unit_3,substance_normalized_3,candidate_3_1,score_3_1,candidate_3_1_status,candidate_3_1_url,candidate_3_2,score_3_2,candidate_3_2_status,candidate_3_2_url,candidate_3_3,score_3_3,candidate_3_3_status,candidate_3_3_url,candidate_3_4,score_3_4,candidate_3_4_status,candidate_3_4_url,candidate_3_5,score_3_5,candidate_3_5_status,candidate_3_5_url,review_decision_3,review_match_name_3,review_notes_3,substance_unit_4,substance_normalized_4,candidate_4_1,score_4_1,candidate_4_1_status,candidate_4_1_url,candidate_4_2,score_4_2,candidate_4_2_status,candidate_4_2_url,candidate_4_3,score_4_3,candidate_4_3_status,candidate_4_3_url,candidate_4_4,score_4_4,candidate_4_4_status,candidate_4_4_url,candidate_4_5,score_4_5,candidate_4_5_status,candidate_4_5_url,review_decision_4,review_match_name_4,review_notes_4
588,Isomexx,Metsulfuron Méthyl,NOT_FOUND_OR_NEEDS_MANUAL_REVIEW,metsulfuron methyl:Unresolved(score=94.0),metsulfuron methyl,metsulfuron methyl,Metsulfuron-methyl,94.0,Approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=880,Methyl decanoate (CAS 110-42-9),86.0,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=221,Methyl octanoate (CAS 111-11-5),86.0,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=847,Fatty acids C8-C10 methyl esters (CAS 85566-26-3) (Methyl octanoate (CAS 111-11-5); Methyl decanoate (CAS 110-42-9)),86.0,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=114,Demeton-S-methyl sulphone,52.9,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=604,review_accept_high_score,,,cloquintocet-2mexyl,cloquintocet-2mexyl,DNOC,68,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=693,Metalaxyl,64,Approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=1318,Quintozene,63,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=1110,,,,,,,,,review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
591,Metsy WG,Metsulfuron Méthyl,NOT_FOUND_OR_NEEDS_MANUAL_REVIEW,metsulfuron methyl:Unresolved(score=94.0),metsulfuron methyl,metsulfuron methyl,Metsulfuron-methyl,94.0,Approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=880,Methyl decanoate (CAS 110-42-9),86.0,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=221,Methyl octanoate (CAS 111-11-5),86.0,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=847,Fatty acids C8-C10 methyl esters (CAS 85566-26-3) (Methyl octanoate (CAS 111-11-5); Methyl decanoate (CAS 110-42-9)),86.0,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=114,Demeton-S-methyl sulphone,52.9,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=604,review_accept_high_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,Traxos 45 EC,Pinoxaden + Clodinafop-propargyl+ Cloquintocet-mexyl,NOT_FOUND_OR_NEEDS_MANUAL_REVIEW,pinoxaden:Pinoxaden(Approved) | clodinafop-propargyl:Unresolved(score=90.0) | cloquintocet-mexyl:Unresolved(score=68.0),pinoxaden,pinoxaden,,,,,,,,,,,,,,,,,,,,,review_accept_high_score,,,flumetsulame,flumetsulame,,,,,,,,,,,,,,,,,,,,,accept,Flumetsulam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,Swipe,Pinoxaden + Clodinafop-propargyl+ Florasulam,NOT_FOUND_OR_NEEDS_MANUAL_REVIEW,pinoxaden:Pinoxaden(Approved) | clodinafop-propargyl:Unresolved(score=90.0) | florasulam:Florasulam(Approved),pinoxaden,pinoxaden,,,,,,,,,,,,,,,,,,,,,review_accept_high_score,,,iodosulfuron,iodosulfuron,,,,,,,,,,,,,,,,,,,,,accept,Iodosulfuron,,mefenpyr diethyl,mefenpyr diethyl,Thymol,72,Approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=1082,Methomyl,69,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=218,Ethylene,69,Approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=98,Mefenacet,64,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=822,Fomesafen,64,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=743,review,,,,,,,,,,,,,,,,,,,,,,,,,,,
603,Axial 045 EC,Pinoxaden + Cloquintocet-méxyl,NOT_FOUND_OR_NEEDS_MANUAL_REVIEW,pinoxaden:Pinoxaden(Approved) | cloquintocet-mexyl:Unresolved(score=68.0),pinoxaden,pinoxaden,,,,,,,,,,,,,,,,,,,,,review_accept_high_score,,,iodosulfuron-methyl,iodosulfuron-methyl,Iodosulfuron,90,Approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=231,Halosulfuron-methyl,84,Approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=83,Metsulfuron-methyl,81,Approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=880,Thifensulfuron-methyl,80,Approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=842,Triflusulfuron (formerly Triflusulfuron-methyl),79,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=179,accept,Iodosulfuron,,mefenpyr diethyl,mefenpyr diethyl,Thymol,72,Approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=1082,Methomyl,69,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=218,Ethylene,69,Approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=98,Mefenacet,64,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=822,Fomesafen,64,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=743,review,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,Axial pratic,Pinoxaden + Cloquintocet-méxyl,NOT_FOUND_OR_NEEDS_MANUAL_REVIEW,pinoxaden:Pinoxaden(Approved) | cloquintocet-mexyl:Unresolved(score=68.0),pinoxaden,pinoxaden,,,,,,,,,,,,,,,,,,,,,review_accept_high_score,,,iodosulfuron methyl sodium,iodosulfuron methyl sodium,Iodosulfuron,90,Approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=231,2-Phenylphenol (incl. sodium salt orthophenyl phenol),86,Approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=1013,Methyl bromide,86,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=220,Sodium propionate,86,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=1158,Thiosultap sodium,86,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=808,accept,Iodosulfuron,,mefenpyr diethyl safener,mefenpyr diethyl safener,Beer,68,Approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=1415,Tebufenpyrad,65,Approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=1374,Mefenacet,64,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=822,Fomesafen,64,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=743,Cyenopyrafen,64,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=679,review,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,Navigator,Pinoxaden + Florasulam + Safener (cloquintocet- mexyl),NOT_FOUND_OR_NEEDS_MANUAL_REVIEW,pinoxaden:Pinoxaden(Approved) | florasulam:Florasulam(Approved) | safener cloquintocet-mexyl:Unresolved(score=68.0),pinoxaden,pinoxaden,,,,,,,,,,,,,,,,,,,,,review_accept_high_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,Gipsy,Thifensulfuron-methyl + Tribuneron-methyl,NOT_FOUND_OR_NEEDS_MANUAL_REVIEW,thifensulfuron-methyl:Thifensulfuron-methyl(Approved) | tribuneron-methyl:Unresolved(score=77.0),thifensulfuron-methyl,thifensulfuron-methyl,,,,,,,,,,,,,,,,,,,,,review_accept_high_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
673,GIB GRO,Acide gibberellique,NOT_FOUND_OR_NEEDS_MANUAL_REVIEW,acid gibberellique:Unresolved(score=86.0),acid gibberellique,acid gibberellique,Folic acid,86.0,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=741,Fatty acids / Isobutyric acid,86.0,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=1000,Pelargonic acid (CAS 112-05-0),86.0,Approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=959,Lactic acid,86.0,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=995,Amino acids: gamma aminobutyric acid,82.5,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=331,review_accept_high_score,,,florasulam,florasulam,,,,,,,,,,,,,,,,,,,,,accept,Florasulam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
674,FENGIB EC,Acide gibbérellique +phenothiol,NOT_FOUND_OR_NEEDS_MANUAL_REVIEW,acid gibberellique:Unresolved(score=86.0) | phenothiol:Unresolved(score=81.0),acid gibberellique,acid gibberellique,Folic acid,86.0,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=741,Fatty acids / Isobutyric acid,86.0,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=1000,Pelargonic acid (CAS 112-05-0),86.0,Approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=959,Lactic acid,86.0,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=995,Amino acids: gamma aminobutyric acid,82.5,Not approved,https://ec.europa.eu/food/plant/pesticides/eu-pesticides-database/active-substances/?event=as.details&as_id=331,review_accept_high_score,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
