source_name,eu_name
azadirachtin,Azadirachtin (Margosa extract)
imidacloprid + lambda-cyhalothrin,Cyhalothrin
copper oxychloride,Mancozeb
copper sulfate,Cymoxanil
abamectin,Abamectin (aka avermectin)
abamectin + thiamethoxam,Thiamethoxam
acetamiprid,Acetamiprid
acrinathrine,Acrinathrin
ametoctradine,Ametoctradin
bacillus thuringiensis,Bacillus thuringiensis strain RTI545
bacillus thuringiensis subsp kurstaki strain abts-351,Bacillus thuringiensis subsp. Kurstaki strain ABTS-351
chlorantraniliprole + abamectin,Chlorantraniliprole
chlorantraniliprole + lambda-cyhalothrin,Cyhalothrin
chorpyriphos + gamma cyhalothrin,Cyhalothrin
chromafenozide,Chromafenozide
cypermethrin,Permethrin
deltamethrin,Deltamethrin
dimethoate,Dimethoate
emamectin benzoate,Emamectin
etoxazole famille chimique oxazolines,Etoxazole
farnesol + nerolidol + geraniol,Geraniol
fenoxycarbe,Fenoxycarb
fenoxycarb + lufenuron,Fenuron
flufenoxuron,Flufenoxuron
gamma-cyhalothrine,Cyhalothrin
helicoverpa armigera nucleopolyhedrovirus,Helicoverpa armigera nucleopolyhedrovirus (HearNPV)
imidacloprid,Imidacloprid
imidacloprid tebuconazole,Tebuconazole
indoxacarbe,Indoxacarb
lambda-cyhalothrin,lambda-Cyhalothrin
metam,Metam (incl. -potassium and -sodium)
methiocarbe,Methiocarb (aka mercaptodimethur)
methomyl,Methomyl
phenamiphos,Fenamiphos (aka phenamiphos)
pyriproxyfene,Pyriproxyfen
pyrethrine,Pyrethrins
spinosade,Spinosad
tefluthrine,Tefluthrin
thiaclopride,Thiacloprid
thiamethoxam,Thiamethoxam
thiocyclame hydrogene oxalate,Thiocyclam
zeta-cypermethrin,Permethrin
azoxystrobine,Azoxystrobin
azoxystrobine + difenoconazole,Difenoconazole
azoxystrobin propiconazole benzovindiflupyr,Azoxystrobin
azoxystrobine + tebuconazole,Tebuconazole
boscalid,Boscalid (formerly nicobifen)
boscalid + pyraclostrobin,Pyraclostrobin
captane,Captan
carbendazime,Carbendazim
chlorothaonil,Chlorothalonil
