Produit_Commercial,Société,Fabricant
ALLIANCE TOP SC,AGRI PLUS,JIANGYIN SULI CHEMICALCO
ALLIANCE TOP SC,AGRI PLUS,NANJING AGROCHEMICAL
LITTOVIR,AGRICULTURE,ANDERMATT BIOCONTROL AG
LITTOVIR,AGRICULTURE,BAYER CROPSCIENCE
LITTOVIR,AGRICULTURE,CORTEVA
LITTOVIR,AGRICULTURE ALOHA AGRICULTURE,ANDERMATT BIOCONTROL AG
10DC,AGRIMATCO,OAT AgrioCO.Ltd
AIRONE,AGRIMATCO,ISAGRO
AIRONE,AGRIMATCO,distribute par frarimpex GOWAN CROP
AIRONE,AGRIMATCO,AAKO BV
ALLEGRO,AGRIMATCO,BASF
ALLIAGE DF,AGRIMATCO,BASF
Amanora,AGRIMATCO,UPL
Aroxy 250SC,AGRIMATCO,UPL
BATO,AGRIMATCO,BASF
Benevia,AGRIMATCO,DU PONT
CAPITOL 80 WG,AGRIMATCO,SHARDA
Clip,AGRIMATCO,DU PONT INTERNATIONAL co rteva
DANIRANGER,AGRIMATCO,OAT AgrioCO.Ltd
DANIRANGER 10DC,AGRIMATCO,OAT AgrioCO.Ltd
FLORAMITE 240,AGRIMATCO,CHEMTURA
FLORAMITE 240 SC,AGRIMATCO,CHEMTURA
FLORAMITE 240 SC,AGRIMATCO,AR YSTA CHEMTURA AR YSTA
FOXTON 30 SC,AGRIMATCO,"LoatingYoloo Bio- Technology Co ,Ltd"
GRACIA 100 EC,AGRIMATCO,NISSAN CHEMICAL CORPORATION
GRACIA 100 EC,AGRIMATCO,GLOBACHEM
Glycel,AGRIMATCO,EXCEL CROP CARE
Glycel,AGRIMATCO,excelcrop care Sumitomo chemical
IMIGO 70 WG,AGRIMATCO,Inde
Imigo70 WG,AGRIMATCO,United Phosphorus Limited
M ETRON WG,AGRIMATCO,UNITED PHOSPHORUS
METRON WG,AGRIMATCO,UNITED PHOSPHORUS
OXYTANE,AGRIMATCO,SHARDA CROPCHEM
OXYTANE,AGRIMATCO,LIMITED INDE
Pantera 40,AGRIMATCO,CHEMTURA
REBOOT WG,AGRIMATCO,GOWAN CROP PROTECTION LIMITED
REVYSTAR EC,AGRIMATCO,BASF
STARKEL 20SG,AGRIMATCO,"Mitsui Chemicals Agro,Inc"
STARKLE 20SG,AGRIMATCO,"Mitsui Chemicals Agro,Inc"
Sulpex,AGRIMATCO,Agrostulln GmbH
Sulpex,AGRIMATCO,frarimpe x(D)
Sumipleo50EC,AGRIMATCO,SUMITOMO
SunOIL,AGRIMATCO,PETRONAS LUBRICANTS BELGIUM NV
SunOIL,AGRIMATCO,PETRONAS
TUBERON,AGRIMATCO,UPL
Vydate GR,AGRIMATCO,DUPONT
YAMATO 85 WG,AGRIMATCO,Kumai chemical industry
YAMATO 85 WG,AGRIMATCO,ustry
codacide EO,AGRIMATCO,Mirocide Ltd
palazzo,AGRIMATCO,BASF
AIRONE,AGRIMATCO AGRIPROTEC ATLAS AGRICOLE BIOPROTECTION COTUGRAIN,IQV DEL VALLES NUFARM MANICA Spa NUFARM NORDOX INDUSTRIER A(fabricant) S;COMMerci alquimecamasso(four)
Benfuron,AGRIMED,SHARDA
Benfuron,AGRIMED,ALBAUGH EUROPE SARL
